Province,ContractCost,DelayDays,ProjectID,TotalPopulation,Good_Infra_Ratio,party,PerCapitaSpending
ABRA,7378231720.8,-14.9,100,250985.0,0.75,ASENSO,29397.10230013746
AGUSAN DEL NORTE,9666122673.01,-8.047058823529412,85,,0.5616438356164384,PDPLBN,
AGUSAN DEL SUR,3661371399.9,-22.93103448275862,58,739367.0,0.3515625,NUP,4952.035186720533
AKLAN,3042628550.04,31.766666666666666,60,615475.0,0.358974358974359,PDPLBN,4943.545310597506
ALBAY,15487655756.26,-18.845559845559844,259,1374768.0,0.5167785234899329,KANP,11265.650463394551
ANTIQUE,1602396896.45,21.685714285714287,35,612974.0,0.2112676056338028,NUP,2614.135177756316
APAYAO,1951896261.99,26.323529411764707,34,124366.0,0.49333333333333335,NPC,15694.773989595227
AURORA,3089887328.27,20.96875,64,235750.0,0.52,PDPLBN,13106.627055227995
BASILAN,615237200.01,70.4,10,426207.0,0.4,PDPLBN,1443.5173519205457
BATAAN,3678095215.28,-7.782608695652174,92,853373.0,0.4418604651162791,PDPLBN,4310.0674796132525
BATANES,422128645.99,-1.9375,32,18831.0,0.6551724137931034,LP,22416.687695289682
BATANGAS,6910654953.17,-8.92,175,2908494.0,0.4129032258064516,PDPLBN,2376.0251708169244
BENGUET,3119367780.93,-12.513157894736842,76,,0.2857142857142857,PDPLBN,
BILIRAN,1235545820.04,14.647887323943662,71,179312.0,0.34285714285714286,NP,6890.480391942536
BOHOL,4578488386.4,6.935064935064935,77,1394329.0,0.7736842105263158,NPC,3283.649975292775
BUKIDNON,7774426807.03,55.089285714285715,112,1541308.0,0.6466165413533834,PRP,5044.044932635138
BULACAN,42518238890.340004,-10.957878315132605,641,3708890.0,0.5932203389830508,NUP,11463.871640933003
CAGAYAN,6586300683.58,70.69934640522875,153,1268603.0,0.40725806451612906,NP,5191.774482308492
CALOOCAN CITY,3515925375.77,-50.404761904761905,84,,,,
CAMARINES NORTE,4203897241.83,-13.347826086956522,92,629699.0,0.5428571428571428,AKSYON,6676.042429525853
CAMARINES SUR,17366835451.94,-41.2734693877551,245,2068244.0,0.292817679558011,PDPLBN,8396.898746927345
CAMIGUIN,1236511756.64,86.6,30,92808.0,0.6,PDPLBN,13323.331573140247
CAPIZ,1225507553.7,71.0,24,804952.0,0.4634146341463415,LAKAS,1522.4604121736452
CATANDUANES,1744846889.77,-7.666666666666667,42,271879.0,0.5151515151515151,NPC,6417.733218711265
CAVITE,10563458996.4,-11.021857923497267,183,4344829.0,0.40540540540540543,NUP,2431.2715175672047
CEBU,26218010114.15,-31.054187192118228,406,,0.39748953974895396,1CEBU,
CITY OF MANILA,14162690289.05,-19.857142857142858,210,1846513.0,,,7669.965112105899
COTABATO (NORTH COTABATO),3374400379.58,-2.5757575757575757,66,1275185.0,,,2646.204573908884
DAVAO DE ORO,3256378460.62,-13.719298245614034,57,,,PDR,
DAVAO DEL NORTE,1902991744.92,-13.666666666666666,33,1125057.0,0.3902439024390244,PDR,1691.4625169391418
DAVAO DEL SUR,10255073807.73,-5.232142857142857,168,,0.6973684210526315,NP,
DAVAO OCCIDENTAL,1128698878.54,36.8125,16,317159.0,0.4482758620689655,LAKAS,3558.779282757229
DAVAO ORIENTAL,3159342452.66,-73.14035087719299,57,576343.0,0.40425531914893614,NP,5481.705256522591
DINAGAT ISLANDS,510864246.6,62.86666666666667,15,128117.0,0.925,LAKAS,3987.4821186883864
EASTERN SAMAR,592196092.18,10.473684210526315,19,477168.0,0.5054945054945055,PDPLBN,1241.0641371173253
GUIMARAS,440194713.08,-12.571428571428571,7,187842.0,0.05555555555555555,NUP,2343.4307187955833
IFUGAO,1393439158.97,-4.923076923076923,26,207498.0,0.6923076923076923,KBL,6715.434167895594
ILOCOS NORTE,9988472281.65,-18.486363636363638,220,609588.0,0.23741007194244604,NP,16385.611727346994
ILOCOS SUR,4413151949.28,133.77142857142857,140,706009.0,0.9029850746268657,NPC,6250.843755929456
ILOILO,7103010668.16,53.295597484276726,159,,0.49321266968325794,NUP,
ISABELA,21030869970.68,-81.92948717948718,312,1697050.0,0.6210526315789474,PDPLBN,12392.60479695943
KALINGA,1135380075.8,72.81967213114754,61,229570.0,0.4189189189189189,LAKAS,4945.681386069608
LA UNION,10798357311.74,68.61783439490446,157,822352.0,0.4024390243902439,PDDS,13131.064692175612
